k,time,wind_mps,P_pu,Q_pu,wr_pu,P_MW,Q_Mvar,dayOfYear,month
1376,17-Aug-2024 04:00:00,11.2467359238618,0.680959001443226,-0.17093528870712,1.20017676507051,776.293261645278,-194.866229126117,230,8
1377,17-Aug-2024 08:00:00,9.78925585586345,0.478208452144036,-0.223105184253545,1.08024666735829,545.157635444201,-254.339910049041,230,8
1378,17-Aug-2024 12:00:00,9.17701218048305,0.41331187481603,-0.229731684217718,1.02645520166462,471.175537290274,-261.894120008199,230,8
1379,17-Aug-2024 16:00:00,10.0311223752459,0.508066737312939,-0.218668984396824,1.10151526846185,579.196080536751,-249.282642212379,230,8
1380,17-Aug-2024 20:00:00,10.4967725046215,0.572851043270775,-0.205485372887196,1.14180814924314,653.050189328684,-234.253325091404,230,8
1381,18-Aug-2024 00:00:00,10.374803529892,0.5511240825308,-0.210801376488617,1.13142634877347,628.281454085113,-240.313569197023,231,8
1382,18-Aug-2024 04:00:00,10.0038497457828,0.504588293037954,-0.219350078458635,1.09914763091295,575.230654063267,-250.059089442844,231,8
1383,18-Aug-2024 08:00:00,9.63473623751514,0.461799920742685,-0.225961472880137,1.06663468260052,526.451909646661,-257.596079083356,231,8
1384,18-Aug-2024 12:00:00,9.72278818078412,0.471056238996852,-0.225197615159639,1.07437270127046,537.004112456411,-256.725281281989,231,8
1385,18-Aug-2024 16:00:00,10.107777012379,0.518571780348831,-0.216862099896764,1.10821538636755,591.171829597667,-247.222793882311,231,8
1386,18-Aug-2024 20:00:00,9.40826380737327,0.432453024465445,-0.229348267235136,1.04664440939511,492.996447890607,-261.457024648056,231,8
1387,19-Aug-2024 00:00:00,8.39490835065954,0.33149681183223,-0.230919603338614,0.959741282966944,377.906365488742,-263.24834780602,232,8
1388,19-Aug-2024 04:00:00,8.17974441426347,0.324921381619157,-0.23608829148199,0.942106557798557,370.410375045838,-269.140652289469,232,8
1389,19-Aug-2024 08:00:00,8.68991732286489,0.35758100210142,-0.231778068507684,0.984490813496539,407.642342395619,-264.22699809876,232,8
1390,19-Aug-2024 12:00:00,8.64656754710381,0.353686600166277,-0.234274624802343,0.980812061838237,403.202724189556,-267.073072274671,232,8
1391,19-Aug-2024 16:00:00,9.56132435543687,0.451248788993624,-0.226134147146971,1.06013384250298,514.423619452732,-257.792927747547,232,8
1392,19-Aug-2024 20:00:00,12.5278323868377,0.908627025417908,-0.0520630109561656,1.19819673301932,1035.83480897641,-59.3518324900287,232,8
1393,20-Aug-2024 00:00:00,12.7001024713053,0.895496978762854,-0.060801461712445,1.20012301932162,1020.86655578965,-69.3136663521873,233,8
1394,20-Aug-2024 04:00:00,10.3771111086185,0.553986844832489,-0.20812414229744,1.13158422660299,631.545003109038,-237.261522219082,233,8
1395,20-Aug-2024 08:00:00,10.2674432292243,0.5398210963527,-0.212971470437375,1.1221426855146,615.396049842078,-242.787476298607,233,8
1396,20-Aug-2024 12:00:00,11.2343379864967,0.678219048912739,-0.171919804372361,1.19977500842454,773.169715760522,-195.988576984491,233,8
1397,20-Aug-2024 16:00:00,12.1407109325717,0.859926401926536,-0.0875293187912636,1.20052040479246,980.316098196251,-99.7834234220405,233,8
1398,20-Aug-2024 20:00:00,12.4040667298743,0.893889276834249,-0.0660276450635394,1.20108721765462,1019.03377559104,-75.2715153724349,233,8
1399,21-Aug-2024 00:00:00,11.1468463558549,0.674551917962391,-0.175004094747984,1.19414736596368,768.989186477126,-199.504668012701,234,8
1400,21-Aug-2024 04:00:00,9.36694952779147,0.428028645974483,-0.228645989377382,1.04303168139127,487.952656410911,-260.656427890215,234,8
1401,21-Aug-2024 08:00:00,9.68974437856,0.467918974163769,-0.224834132662107,1.07148953106311,533.427630546696,-256.310911234802,234,8
1402,21-Aug-2024 12:00:00,11.9218889315583,0.825798256159992,-0.10454777904316,1.19996254136434,941.410012022391,-119.184468109203,234,8
